county,hum_cases,catt_cases,cam_cases,goat_cases,shp_cases
Baringo,118526,14,0,6,3
Bomet,79953,14,0,1,0
Bungoma,313389,21,0,5,2
Busia,57328,8,0,0,0
Elgeyo Marakwet,183076,2,0,0,0
Embu,34518,3,0,0,0
Garissa,88699,2,1,18,9
Homa Bay,78658,0,0,0,1
Isiolo,48527,4,1,6,0
Kajiado,125373,0,0,21,1
Kakamega,93095,6,0,6,0
Kericho,207841,1,0,0,0
Kiambu,77104,0,0,0,0
Kilifi,4922,14,0,7,0
Kirinyaga,15449,2,0,0,0
Kisii,312677,3,0,0,0
Kisumu,67924,0,0,0,0
Kitui,82399,2,0,7,0
Kwale,6675,0,0,21,0
Laikipia,46246,8,0,0,2
Lamu,967,0,0,0,0
Machakos,62229,7,0,1,0
Makueni,63398.3,6,0,9,12
Mandera,47908,13,0,49,2
Marsabit,60940,21,10,184,33
Meru,52218,1,0,0,0
Migori,140163,1,0,0,0
Mombasa,6580,5,0,0,0
Murang'a,14089,26,0,0,0
Nairobi,99071,0,0,0,0
Nakuru,344658,16,0,10,3
Nandi,267838,5,0,0,0
Narok,195556,4,0,0,0
Nyamira,105737,23,0,0,0
Nyandarua,88391,0,0,0,0
Nyeri,14429,12,0,0,0
Samburu,38940,0,0,48,8
Siaya,43960,8,0,5,0
Taita Taveta,11560,17,0,0,0
Tana River,12145,0,13,4,0
Tharaka Nithi,61871,4,0,4,0
Trans Nzoia,231684,5,0,0,0
Turkana,95941,49,0,156,17
Uasin Gishu,254737,10,0,0,0
Vihiga,42722,3,0,1,0
Wajir,56772,0,0,4,0
West Pokot,231923,20,0,1,2
