county,animal_incidence,human_incidence
Baringo,6.6651,176.6122
Bomet,14.7394,91.9514
Bungoma,3.8848,187.0587
Busia,3.2635,64.5734
Elgeyo Marakwet,0.0148,399.311
Embu,2.2148,55.6271
Garissa,1.6968,106.874
Homa Bay,0.0074,69.6518
Isiolo,0.2907,174.0809
Kajiado,0.3488,113.1718
Kakamega,5.6156,50.4239
Kericho,1.3522,230.6949
Kiambu,0,32.5786
Kilifi,12.5415,3.3229
Kirinyaga,3.9994,25.198
Kisii,5.2668,245.2318
Kisumu,0,59.0394
Kitui,2.199,71.9497
Kwale,13.3834,7.8679
Laikipia,3.8634,91.0801
Lamu,0,6.6268
Machakos,2.6004,44.1382
Makueni,7.9903,65.356
Mandera,3.1569,55.6635
Marsabit,8.4831,133.0588
Meru,0.6259,34.234
Migori,0.9322,125.2438
Mombasa,65.0838,5.4661
Murang'a,29.5226,13.4616
Nairobi,0,22.5156
Nakuru,9.314,161.6422
Nandi,4.0018,303.7651
Narok,0.3914,170.2627
Nyamira,67.3511,172.2996
Nyandarua,0,140.2248
Nyeri,14.0945,18.9118
Samburu,5.8458,127.2662
Siaya,6.4625,44.8963
Taita Taveta,2.8423,33.816
Tana River,6.2314,38.4691
Tharaka Nithi,11.1463,156.3982
Trans Nzoia,5.7544,235.3304
Turkana,23.7908,104.8443
Uasin Gishu,9.1853,221.8217
Vihiga,6.1266,72.1407
Wajir,0.2691,74.1792
West Pokot,5.1842,374.3933
