"","County","growth_rate"
"1","Baringo",0
"2","Bomet",0
"3","Bungoma",0
"4","Busia",0
"5","Elgeyo Marakwet",0
"6","Embu",0
"7","Garissa",0
"8","Homa Bay",0
"9","Isiolo",0
"10","Kajiado",0
"11","Kakamega",0
"12","Kericho",0
"13","Kiambu",0
"14","Kilifi",0
"15","Kirinyaga",0
"16","Kisii",0
"17","Kisumu",0
"18","Kitui",0
"19","Kwale",0
"20","Laikipia",0
"21","Lamu",0
"22","Machakos",0
"23","Makueni",0
"24","Mandera",0
"25","Marsabit",0
"26","Meru",0
"27","Migori",0
"28","Mombasa",0
"29","Murang'a",0
"30","Nairobi",0
"31","Nakuru",0
"32","Nandi",0
"33","Narok",0
"34","Nyamira",0
"35","Nyandarua",0
"36","Nyeri",0
"37","Samburu",0
"38","Siaya",0
"39","Taita Taveta",0
"40","Tana River",0
"41","Tharaka Nithi",0
"42","Trans Nzoia",0
"43","Turkana",0
"44","Uasin Gishu",0
"45","Vihiga",0
"46","Wajir",0
"47","West Pokot",0
